	subject	target_sentence	db_cond	response	threshold
0	sub01	Der Wecker klingelt zur gewohnten Zeit.	-2.0	 Der Wecker klingelt zur gewohnten Zeit.	wordlists_allcorrect
1	sub01	Unserer Tante fehlt gar nichts.	-2.0	 Unserer Tante fehlt gar nichts.	wordlists_allcorrect
2	sub01	Der Mondschein taucht die Landschaft in Silber.	0.0	 Der Mondschein taucht die Landschaft in Silber.	wordlists_allcorrect
3	sub01	In der Bucht glitzern die silbernen Wellen.	2.0	 In der Bucht glitzern die silbernen Wellen.	wordlists_allcorrect
4	sub01	Im Park traf ich meinen Deutschlehrer.	-2.0	 Im Park traf ich meinen Deutschlehrer.	wordlists_allcorrect
5	sub01	Die Tomate im Kühlschrank keimte.	0.0	 die Tomate im Kühlschrank keimte.	wordlists_allcorrect
6	sub01	In der Galerie bewundern Besucher zeitgenössische Kunst.	0.0	 In der Galerie bewundern wir sogar zeitgenössische Kunst.	wordlists_allcorrect
7	sub01	Im Dschungel herrscht skrupellose Lebensform.	2.0	 Unser Herz.	wordlists_allcorrect
8	sub01	Die Kartoffeln gehören zum Mittagessen	10.0	 Die Kartoffeln gehören zum Mittagessen.	wordlists_allcorrect
9	sub01	Der alte Baum knarrt bei jedem Windstoß.	-1.0	 Der alte Baum knarrt bei jedem Windstoß.	wordlists_allcorrect
10	sub01	Danach kannst Du Dich wirklich richten.	2.0	 Danach kannst du dich wirklich richten.	wordlists_allcorrect
11	sub01	Die Bäckerin singt fröhlich beim Brötchenbacken.	-1.0	 Die Bäckerin singt fröhlich beim Brötchenbacken.	wordlists_allcorrect
12	sub01	Der Laptop surft schnell im Internet.	-1.0	 Der Laptop surft schnell im Internet.	wordlists_allcorrect
13	sub01	Es wird auch da chinesisch gesprochen.	2.0	 Es wird auch da chinesisch gesprochen.	wordlists_allcorrect
14	sub01	Der Kaffee duftet verführerisch am Morgen.	0.0	 Der Kaffee duftet verführerisch am Morgen.	wordlists_allcorrect
15	sub01	Ein älteres Paar spaziert Hand in Hand.	-1.0	 Ein älteres Paar spaziert Hand in Hand.	wordlists_allcorrect
16	sub01	Die Hilfsmannschaft setzt sich in Marsch.	2.0	 Die Hilfsmannschaft setzt sich in Marsch.	wordlists_allcorrect
17	sub01	Ein Künstler malt Porträts auf dem Marktplatz.	0.0	 Ein Künstler malt Portraits auf dem Marktplatz.	wordlists_allcorrect
18	sub01	In der Dämmerung kommen wir heim.	0.0	 In der Dämmerung kommen wir heim.	wordlists_allcorrect
19	sub01	Der Lehrer erklärt schwierige Konzepte.	0.0	 Der Lehrer erklärt schwierige Konzepte.	wordlists_allcorrect
20	sub01	Der Nachbar trägt heute einen bunten Anzug.	-1.0	 Der Nachbar trägt heute einen bunten Anzug.	wordlists_allcorrect
21	sub01	Sechs Mädchen wollen Schwester werden.	-1.0	 So bad.	wordlists_allcorrect
22	sub01	Der gelbe Küchenofen sorgt für Wärme	10.0	 Der gelbe Küchenofen sorgt für Wärme.	wordlists_allcorrect
23	sub01	Das Wasser kocht auf dem Herd.	-2.0	 Das Wasser kocht auf dem Herd.	wordlists_allcorrect
24	sub01	Sie läuft entspannt am Strand entlang.	1.0	 Sie läuft entspannt am Strand entlang.	wordlists_allcorrect
25	sub01	Ein bunter Schmetterling tanzt im Sonnenlicht.	-2.0	 Ein bunter Schmetterling tanzt im Sonnenlicht.	wordlists_allcorrect
26	sub01	Senioren machen morgendliche Gymnastik im Park.	-1.0	 Senioren machen morgendliche Gymnastik im Park.	wordlists_allcorrect
27	sub01	Die letztmalige Feststellung war eindrucksvoll.	-2.0	 Die letztmalige Feststellung war eindrucksvoll.	wordlists_allcorrect
28	sub01	Diese Gegend nennt man Sandwüste.	2.0	 Diese Gegend nennt man Sandwüste.	wordlists_allcorrect
